"Domain","IP","Country","City","ISP","Organization","AS","Status"
"google.com","2607:f8b0:4002:c10::64","United States","Atlanta","Google LLC","Google Public DNS (atl)","AS15169 Google LLC","success"
"youtube.com","172.253.122.91","United States","Mountain View","Google LLC","Google LLC","AS15169 Google LLC","success"
"facebook.com","31.13.66.35","United States","Ashburn","Facebook, Inc.","Meta Platforms Ireland Limited","AS32934 Facebook, Inc.","success"
"baidu.com","110.242.74.102","China","Chengde","China Unicom Hebei Province Network","","AS4837 CHINA UNICOM China169 Backbone","success"
"wikipedia.org","198.35.26.96","United States","San Jose","Wikimedia Foundation Inc.","Wikimedia Foundation Inc","AS14907 Wikimedia Foundation Inc.","success"
"qq.com","123.150.76.218","China","Youyilu","Tianjij, ","Chinanet TJ","AS58542 Tianjij,300000","success"
"taobao.com","59.82.122.140","China","Hangzhou","Hangzhou Alibaba Advertising Co","Hangzhou Alibaba Advertising Co., Ltd.","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.","success"
"yahoo.com","74.6.231.20","United States","Omaha","Oath Holdings Inc.","Oath Holdings Inc","AS36646 Yahoo Holdings Inc.","success"
"amazon.com","98.87.170.74","United States","Ashburn","AT&T Corp.","Amazon Technologies Inc. (us-east-1)","AS14618 Amazon.com, Inc.","success"
"twitter.com","162.159.140.229","Canada","Toronto","Cloudflare, Inc.","Cloudflare, Inc.","AS13335 Cloudflare, Inc.","success"
